Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Sierra Leone,SLE,AF,2017,41.32,68.911,47.89,60.04,83.47,94.58,64.49,61.9,86.02,29.98,25.469,39.12,31.3,58.17,36.56,88.75,101.7,37.12,21.32,155.97
Singapore,SGP,AS,2017,112.16,127.302,127.87,161.71,121.93,132.77,129.36,137.51,242.6,95.64,123.176,114.3,136.56,158.08,70.37,327.34,131.3,59.52,131.65,128.14
Slovakia,SVK,EU,2017,93.82,103.567,108,136.97,99.92,96.52,94.78,153.75,79.55,125.69,103.223,97.27,56.89,105.37,94.58,87.22,95.08,85.26,64.59,89.42
Slovenia,SVN,EU,2017,103.47,109.768,108.74,119.08,121.65,100.05,113.25,129.93,80.26,126.34,102.011,108.85,90,119.8,102.99,98.61,124.17,102.75,102.07,88.44
Somalia,SOM,AF,2020,-12.8,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,AF,2017,70.41,92.413,92.89,109.94,85.43,104.26,89.21,91.14,83.52,80.92,42.503,63.11,71.11,109.39,62.93,108.11,67.2,72.86,72.59,130.32
South Korea,KOR,AS,2017,123.53,202.794,248.91,263.32,190.27,227.69,309.16,134.53,146.3,194.52,96.827,113.37,78.79,113.52,145.92,105.33,99.22,111.52,158.34,117.2
Spain,ESP,EU,2017,113.82,109.705,130,130.9,127.71,93.74,109.39,125.4,72.93,114.11,135.951,118.32,121.63,117.72,107.29,95.71,155.23,103.55,111.13,87.41
Sri Lanka,LKA,AS,2017,52.19,85.113,98.52,92.48,72.97,94.28,100.37,61.32,204.91,44.55,32.959,51.92,19.65,74.58,49.53,150.75,50.63,48.69,14.16,105.32
Sudan,SDN,AF,2017,38.29,67.426,90.68,75.76,60.53,76.54,59.78,75.34,,30.27,20.973,38.15,17.28,54.86,28.8,113.54,53.13,41.11,11.87,57.76
Suriname,SUR,SA,2017,55.71,93.652,109.83,143.64,95.68,95.64,94.58,64.69,122.13,71.26,26.346,55.44,37.9,77.06,57.36,149.56,63.84,51.79,41.18,95.9
Swaziland,SWZ,AF,2017,65.77,92.865,78.27,123.64,88.98,104.11,81.66,102.11,72.45,46.14,50.994,59.07,73.31,70.78,66.55,107.64,107.29,53.17,57.23,132.62
Sweden,SWE,EU,2017,155.01,142.433,155.56,186.71,153.46,115.63,154.35,170.89,143.42,168.98,165.466,139.63,189.48,160.4,182.92,105.65,136.86,143.83,233.82,97.51
Switzerland,CHE,EU,2017,197.89,197.397,178.15,243.55,200.39,138.91,295.27,229.13,108.33,156.74,266.926,146,241.55,160.56,203.18,107.86,140.61,173.5,289,100.03
Taiwan,TWN,AS,2017,78.15,124.157,129.75,169.64,125.11,130.98,113.11,120.14,127.1,65.09,74.741,91.17,46.6,85.17,56.02,117.88,63.8,58.9,87.47,119.22
Tajikistan,TJK,AS,2017,43.51,73.549,80.29,87.8,72.13,82.02,70.49,92.92,54.07,92.76,11.373,80.64,28.46,73.35,64.45,51.55,34.19,54.73,11,83.93
Tanzania,TZA,AF,2017,48.53,66.19,50.57,59.88,79.86,101.97,47.91,76.96,91.03,39.68,48.023,45.51,31.11,60.85,30.13,123.95,86.95,46.66,71.51,134.98
Thailand,THA,AS,2017,56.12,79.409,100.4,92.97,76.79,100.38,68.61,68.97,132.4,48.07,36.546,67.36,43.3,72.84,40.4,124.16,76.79,52.64,43.22,103.59
Togo,TGO,AF,2017,60.73,105.906,54.46,102.46,152.66,114.52,89.16,106.09,79.55,33.89,29.719,45.47,48.58,62.91,69.43,118.26,141.12,56.84,43.12,123.26
Trinidad and Tobago,TTO,NA,2017,89.05,134.92,180.71,184.23,140.8,158.98,117.41,99.05,209.15,93.82,58.438,96.08,96.79,86.25,120.76,176.85,139.22,84.13,83.52,122.48
Tunisia,TUN,AF,2017,43.98,61.571,57.55,67.83,47.05,55.91,85.82,80.97,118.66,60.56,21.847,52.88,42.49,56.7,37.86,98.3,49.94,48.55,43.13,133.02
Turkey,TUR,EU,2017,64.7,96.185,95.2,84.58,87.01,104.21,102.81,139.64,172.11,73.68,47.851,67.11,28.66,95.17,78.22,112.71,91.97,64.62,17.13,85.88
Uganda,UGA,AF,2017,48.47,70.729,51.92,55.09,74.99,86.43,66.95,132.71,96.79,39.06,41.807,48.28,26.83,71.74,59.97,122.27,76.7,51.2,21.97,131.57
Ukraine,UKR,EU,2017,37.76,55.473,,,42.67,62.54,54.19,89.1,45.52,114.58,20.884,50.57,14.37,65.43,32.17,91.46,22.55,37.07,14.42,80.99
United Arab Emirates,ARE,AS,2017,110.65,128.869,169.88,128.14,138.67,128.89,131.52,109.36,171.1,97.8,123.567,76.79,100.38,75.78,93.48,86.23,138.98,98.36,146.69,90.45
United Kingdom,GBR,EU,2017,144.03,106.357,123.78,130.63,102.12,90.21,116.88,117.04,115.55,116.42,234.09,117.37,136.42,138.72,131.75,105.64,122.19,112.07,177.85,83.89
Uruguay,URY,SA,2017,124.24,145.595,129.96,175.07,213.79,162.19,98.55,101.06,173.93,139.82,108.248,113.91,124.42,129.14,114.64,139.7,138.73,110.75,112.76,131.66
USA,USA,NA,2017,143.34,123.827,136.28,167.11,128.3,109.91,125.64,147.33,109.67,133.26,170.234,117.01,179.52,110.32,127.71,103.89,202.03,117.83,272.75,90.83
Vietnam,VNM,AS,2017,50.03,73.294,79.31,80.93,70.02,96.54,68.79,70.63,96.28,47.92,47.334,59.97,31.42,72.95,35.01,120.59,41.2,40.45,28,100.34
Zambia,ZMB,AF,2017,63.6,86.645,56.77,92.79,112.02,106.19,65.24,90.1,101.06,50.45,46.315,64.58,37.42,110.55,47.62,131.42,132.16,62.69,49.3,138.86
Zimbabwe,ZWE,AF,2017,69.53,101.714,112.78,130.06,111.18,109.44,90.99,83.02,117.92,84.22,43.133,81.82,47.54,88.24,73.27,152,157.64,49.59,52.93,129.89
